,House_Type,House_Price,House_Address,House_Details
0,Flat for sale,€ 169.000,"Stationslaan 31 301, 8200 Sint-Andries","['2 days', '2 beds', '1 bath', '66m2']"
1,Business for sale,€ 499.000,"Sint-Pieterskaai 76, 8000 Brugge","['2 days', '3 beds']"
2,House for sale,€ 499.000,"Sint-Pieterskaai 76, 8000 Brugge","['2 days', '3 beds']"
3,House for sale,€ 199.000,"Vissersstraat 110, 8380 Zeebrugge","['3 days', '3 beds', '1 bath', '135m2']"
4,House for sale,€ 220.000,"Biddersstraat 27, 8000 Brugge","['3 days', '2 beds', '80m2']"
5,House for sale,€ 450.000,"Pastoriestraat 41, 8200 Sint-Andries","['5 days', '3 beds', '1 bath', '309m2']"
6,House for sale,€ 259.000,"Blankenbergse Steenweg, 8000 Brugge","['1 week', '4 beds', '1 bath']"
7,House for sale,€ 289.000,"Lange Muntstraat 26, 8200 Sint-Andries","['1 week', '4 beds', '157m2']"
8,House for sale,€ 325.000,"Kustlaan 91, 8380 Zeebrugge","['1 week', '4 beds', '2 baths', '366m2']"
9,House for sale,€ 285.000,"Kleine Nieuwstraat, 8000 Brugge","['1 hour', '2 beds', '1 bath', '61m2']"
10,house,€ 1.995.000,"Kelkstraat 2, 8000 Brugge","['1 hour', '3 beds', '800m2']"
11,House for sale,€ 349.000,"Peterseliestraat 98, 8000 Brugge","['1 hour', '3 beds']"
12,House for sale,€ 399.000,"Gistelse steenweg 227, 8200 Sint-Andries","['1 hour', '3 beds', '1 bath']"
13,Flat for sale,€ 159.000,"Moerkerkse steenweg 145, 8310 Sint-Kruis","['1 hour', '2 beds', '1 bath', '65m2']"
14,House for sale,€ 299.000,"De Zweehoek 13, 8200 Sint-Michiels","['6 hours', '3 beds', '136m2']"
15,House for sale,€ 245.000,"Moerkerkse steenweg 69, 8310 Sint-Kruis","['6 hours', '4 beds', '1 bath', '154m2']"
16,industrial property,,8000 Brugge,"['6 hours', '3.842m2']"
17,2 flats,€ 149.995+,"Vissersstraat 7 0102, 8380 Zeebrugge","['9 hours', '1+ bed', '58+m2']"
18,Land for sale,€ 22.500,"Weidestraat, 8310 Assebroek",['1 day']
19,investment property,€ 149.000,"Woensdagmarkt 9, 8000 Brugge","['1 day', '43m2']"
20,House for sale,€ 269.000,"Assebroeklaan 18, 8310 Sint-Kruis","['1 day', '4 beds', '1 bath', '157m2']"
21,House for sale,€ 349.000,"Blokstraat 8, 8000 Brugge","['1 day', '3 beds', '1 bath', '116m2']"
22,House for sale,€ 358.000,"Weidestraat 303, 8310 Assebroek","['1 day', '3 beds', '1 bath']"
23,House for sale,€ 247.500,"Wantestraat 94, 8310 Assebroek","['1 day', '3 beds']"
24,House for sale,€ 1.385.000,8000 Brugge,"['1 day', '5 beds', '404m2']"
25,House for sale,€ 365.000,"Kleine heilige geeststraat 11, 8000 Brugge","['1 day', '1 bed']"
26,House for sale,€ 450.000,"Doornhut 34, 8310 Sint-Kruis","['2 days', '6 beds', '1 bath', '216m2']"
27,House for sale,€ 355.000,"Hoge Weg 96, 8200 Sint-Andries","['2 days', '4 beds', '2 baths']"
28,Office for sale,€ 499.000,"Sint-Pieterskaai 76, 8000 Brugge","['2 days', '3 beds']"
29,House for sale,€ 550.000,"Maalse Steenweg 542, 8310 Sint-Kruis","['2 days', '3 beds', '1 bath']"
30,Flat for sale,€ 299.000,"Coupure, 8000 Brugge","['2 days', '2 beds', '1 bath', '78m2']"
31,Flat for sale,€ 299.000,"Coupure, 8000 Brugge","['2 days', '2 beds', '78m2']"
32,House for sale,€ 369.000,"Abdijbekestraat 16, 8200 Sint-Andries","['2 days', '6 beds', '1 bath', '369m2']"
33,26 flats,€ 180.000+,"Blankenbergse Steenweg 6 - 8, 8000 Brugge","['2 days', '1+ bed']"
34,Investment property for sale,€ 875.000,"Hoefijzerlaan 34, 8000 Brugge","['2 days', '10 beds', '5 baths']"
35,House for sale,€ 339.000,"Emiel vanderveldestraat 1, 8200 Sint-Michiels","['2 days', '3 beds', '166m2']"
36,flat,€ 975.000,"Generaal Lemanlaan 155 0101, 8310 Assebroek","['3 days', '3 beds', '200m2']"
37,Investment property for sale,€ 255.000,"Barthelsstraat 40, 8310 Assebroek","['3 days', '3 beds', '1 bath', '138m2']"
38,House for sale,€ 275.000,"'t speelhof 37, 8200 Sint-Michiels","['3 days', '2 beds', '1 bath', '638m2']"
39,flat,€ 255.000+,"Vaartstraat 30, 8000 Brugge","['3 days', '2 beds', '146m2']"
40,House for sale,€ 354.000,"Jan Britostraat 19, 8200 Sint-Andries","['3 days', '4 beds', '2 baths', '186m2']"
41,Garage for sale,€ 12.500,"Maaike Kerrebroeckstraat 3 8, 8310 Assebroek",['3 days']
42,Garage for sale,€ 34.000,"Ezelstraat 80, 8000 Brugge",['1 week']
43,Flat for sale,€ 875.000,"Hoefijzerlaan 34 - 36, 8000 Brugge","['4 days', '10 beds', '5 baths']"
44,house,€ 535.000,"Willemijnendreef 47, 8000 Brugge","['5 days', '2 beds']"
45,House for sale,€ 265.000,"Brugse steenweg 32, 8000 Koolkerke","['5 days', '2 beds', '1 bath', '113m2']"
46,House for sale,€ 369.000,"Visspaanstraat 2, 8000 Brugge","['5 days', '4 beds', '3 baths', '172m2']"
47,Flat for sale,€ 199.000,"Baron de Maerelaan 56 2, 8380 Zeebrugge","['5 days', '2 beds', '1 bath', '80m2']"
